DAY,Section(DE),ROOM1,11,ROOM2,12,ROOM3,13,ROOM4,15,ROOM5,16,ROOM6,17
Wednesday,ML CS-4,X,X,X,X,X,X,B-202,ML(DE),X,X,X,X
Wednesday,ML CS-5,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-6,X,X,X,X,X,X,B-203,ML(DE),X,X,X,X
Wednesday,ML CS-7,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-8,X,X,X,X,X,X,B-204,ML(DE),X,X,X,X
Wednesday,ML CS-9,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-10,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-11,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-12,X,X,X,X,X,X,B-206,ML(DE),X,X,X,X
Wednesday,ML CS-13,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-14,X,X,X,X,X,X,B-301,ML(DE),X,X,X,X
Wednesday,ML CS-15,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-16,X,X,X,X,X,X,B-302,ML(DE),X,X,X,X
Wednesday,ML CS-17,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-18,X,X,X,X,X,X,B-303,ML(DE),X,X,X,X
Wednesday,ML CS-19,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-20,X,X,X,X,X,X,B-304,ML(DE),X,X,X,X
Wednesday,ML CS-21,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-22,X,X,X,X,X,X,B-305,ML(DE),X,X,X,X
Wednesday,ML CS-23,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-24,X,X,X,X,X,X,B-306,ML(DE),X,X,X,X
Wednesday,ML CS-25,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CS-26,X,X,X,X,X,X,B-401,ML(DE),X,X,X,X
Wednesday,ML CS-27,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,IOT CS-1,X,X,X,X,X,X,B-402,IOT(DE),X,X,X,X
Wednesday,IOT CS-2,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,IOT CS-3,X,X,X,X,X,X,B-403,IOT(DE),X,X,X,X
Wednesday,IOT CS-4,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,IOT CS-5,X,X,X,X,X,X,B-404,IOT(DE),X,X,X,X
Wednesday,IOT CS-6,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,IOT CS-7,X,X,X,X,X,X,B-406,IOT(DE),X,X,X,X
Wednesday,IOT CS-8,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,IOT CS-9,X,X,X,X,X,X,A-LH-003,IOT(DE),X,X,X,X
Wednesday,IOT CS-10,X,X,X,X,X,X,A-LH-004,IOT(DE),X,X,X,X
Wednesday,IOT CS-11,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,IOT CS-12,X,X,X,X,X,X,A-LH-005,IOT(DE),X,X,X,X
Wednesday,IOT CS-13,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,NLP CS-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,NLP CS-2,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,NLP CS-3,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,NLP CS-4,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,NLP CS-5,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,NLP CS-6,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-2,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-3,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-4,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-5,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-6,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-7,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-8,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-9,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-10,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-11,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-12,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-13,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-14,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-15,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-16,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-17,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-18,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-19,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-20,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-21,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-22,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-23,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-24,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-25,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-26,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-27,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-28,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-29,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-30,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-31,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-32,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-33,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA CS-34,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML IT-1,X,X,X,X,X,X,A-LH-009,ML(DE),X,X,X,X
Wednesday,ML IT-2,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML IT-3,X,X,X,X,X,X,A-LH-010,ML(DE),X,X,X,X
Wednesday,ML IT-4,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,MC IT-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,MC IT-2,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,MC IT-3,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,OT IT-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,ML CE-1,X,X,X,X,X,X,A-LH-105,ML(DE),X,X,X,X
Wednesday,IOT CE-1,X,X,X,X,X,X,B-405,IOT(DE),X,X,X,X
Wednesday,WSN CE-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,SCS CE-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA SE-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DA SE-2,X,X,X,X,X,X,A-LH-104,DA(DE),X,X,X,X
Wednesday,DMDW SE-1,X,X,X,X,X,X,X,X,X,X,X,X
Wednesday,DMDW SE-2,X,X,X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-1,X,X,X,X,B-201,ML(DE),X,X,X,X,X,X
Thursday,ML CS-2,B-201,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-3,X,X,X,X,B-202,ML(DE),X,X,X,X,X,X
Thursday,ML CS-4,B-202,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-5,X,X,X,X,B-203,ML(DE),X,X,X,X,X,X
Thursday,ML CS-6,B-203,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-7,X,X,X,X,B-204,ML(DE),X,X,X,X,X,X
Thursday,ML CS-8,B-204,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-9,X,X,X,X,B-205,ML(DE),X,X,X,X,X,X
Thursday,ML CS-10,X,X,X,X,A-LH-104,ML(DE),X,X,X,X,X,X
Thursday,ML CS-11,X,X,X,X,B-206,ML(DE),X,X,X,X,X,X
Thursday,ML CS-12,B-206,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-13,X,X,X,X,B-301,ML(DE),X,X,X,X,X,X
Thursday,ML CS-14,B-301,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-15,X,X,X,X,B-302,ML(DE),X,X,X,X,X,X
Thursday,ML CS-16,B-302,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-17,X,X,X,X,B-303,ML(DE),X,X,X,X,X,X
Thursday,ML CS-18,B-303,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-19,X,X,X,X,B-304,ML(DE),X,X,X,X,X,X
Thursday,ML CS-20,B-304,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-21,X,X,X,X,B-305,ML(DE),X,X,X,X,X,X
Thursday,ML CS-22,B-305,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-23,X,X,X,X,B-306,ML(DE),X,X,X,X,X,X
Thursday,ML CS-24,B-306,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-25,X,X,X,X,B-401,ML(DE),X,X,X,X,X,X
Thursday,ML CS-26,B-401,ML(DE),X,X,X,X,X,X,X,X,X,X
Thursday,ML CS-27,X,X,X,X,B-402,ML(DE),X,X,X,X,X,X
Thursday,IOT CS-1,B-402,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-2,X,X,X,X,B-403,IOT(DE),X,X,X,X,X,X
Thursday,IOT CS-3,B-403,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-4,X,X,X,X,B-404,IOT(DE),X,X,X,X,X,X
Thursday,IOT CS-5,B-404,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-6,X,X,X,X,B-405,IOT(DE),X,X,X,X,X,X
Thursday,IOT CS-7,B-406,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-8,X,X,X,X,B-406,IOT(DE),X,X,X,X,X,X
Thursday,IOT CS-9,A-LH-003,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-10,A-LH-004,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-11,X,X,X,X,A-LH-003,IOT(DE),X,X,X,X,X,X
Thursday,IOT CS-12,A-LH-005,IOT(DE),X,X,X,X,X,X,X,X,X,X
Thursday,IOT CS-13,X,X,X,X,A-LH-004,IOT(DE),X,X,X,X,X,X
Thursday,NLP CS-1,X,X,X,X,X,X,X,X,X,X,X,X
Thursday,NLP CS-2,X,X,B-202,NLP(DE),X,X,X,X,X,X,X,X
Thursday,NLP CS-3,X,X,X,X,X,X,X,X,X,X,X,X
Thursday,NLP CS-4,X,X,B-203,NLP(DE),X,X,X,X,X,X,X,X
Thursday,NLP CS-5,X,X,X,X,X,X,X,X,X,X,X,X
Thursday,NLP CS-6,X,X,B-204,NLP(DE),X,X,X,X,X,X,X,X
Thursday,DA CS-1,X,X,X,X,X,X,X,X,X,X,X,X
Thursday,DA CS-2,X,X,B-205,DA(DE),X,X,X,X,X,X,X,X
